Time,ID,Lat,Lon,Alt,#WIFI Networks,DiffLat,DiffLon,DiffAlt,Time,ID,Lat,Lon,Alt,#WIFI Networks
01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10421269,35.20926845,692.028343,10,0,0,0,01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10421269,35.20926845,692.028343,10
01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10443454,35.20976986,691.104639,10,0,0,0,01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10443454,35.20976986,691.104639,10
01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10445056,35.20975196,691.0818915,10,0,0,0,01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10445056,35.20975196,691.0818915,10
01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.104539,35.20967656,689.0697739,10,-1.352E-05,-1.584E-05,0.0697739,01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10455252,35.2096924,689,10
01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10381766,35.21014018,700.9984657,10,0,0,0,01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10381766,35.21014018,700.9984657,10
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10422093,35.20991614,699.8626591,2,0,0,0,12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10422093,35.20991614,699.8626591,2
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10327055,35.20947674,699.7663717,1,-8.947E-05,-0.00026854,-0.0580835,12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10336002,35.20974528,699.8244552,1
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10377174,35.21012652,701.2318888,3,0,0,0,12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10377174,35.21012652,701.2318888,3
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10409958,35.20995634,698.1878306,2,0,0,0,12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10409958,35.20995634,698.1878306,2
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10252386,35.20732447,699.0872236,2,#VALUE!,#VALUE!,#VALUE!,12/05/2017 11:33,model=SM-G950F_device=dreamlte,NaN,NaN,NaN,2
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10380268,35.21015559,701.8501699,1,0,0,0,12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10380268,35.21015559,701.8501699,1
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10332834,35.20904942,701.5956832,1,-0.00051471,-0.0011258,-1.2071747,12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10384305,35.21017522,702.8028579,1
12/05/2017 11:34,model=SM-G950F_device=dreamlte,32.10355116,35.20961327,698.9977205,1,-0.00022896,-0.00052847,0.0652432,12/05/2017 11:34,model=SM-G950F_device=dreamlte,32.10378012,35.21014174,698.9324773,1
12/05/2017 11:36,model=SM-G950F_device=dreamlte,32.10316543,35.20801438,697.2956946,1,-0.00130154,-0.00141548,4.392646,12/05/2017 11:36,model=SM-G950F_device=dreamlte,32.10446697,35.20942986,692.9030486,1
12/05/2017 11:36,model=SM-G950F_device=dreamlte,32.1038081,35.21014099,700.1153811,10,0,0,0,12/05/2017 11:36,model=SM-G950F_device=dreamlte,32.1038081,35.21014099,700.1153811,10
12/05/2017 11:36,model=SM-G950F_device=dreamlte,32.10308963,35.20856592,703.1933965,1,-0.00072338,-0.00160115,-4.8066035,12/05/2017 11:36,model=SM-G950F_device=dreamlte,32.10381301,35.21016707,708,1
12/05/2017 11:36,model=SM-G950F_device=dreamlte,32.1041884,35.20999181,696.4171755,3,0,0,0,12/05/2017 11:36,model=SM-G950F_device=dreamlte,32.1041884,35.20999181,696.4171755,3
12/05/2017 11:37,model=SM-G950F_device=dreamlte,32.10435362,35.20917047,696.6688463,1,0,0,0,12/05/2017 11:37,model=SM-G950F_device=dreamlte,32.10435362,35.20917047,696.6688463,1
12/05/2017 11:37,model=SM-G950F_device=dreamlte,32.10501417,35.21004384,687.3944428,3,6.393E-05,-0.00011952,-0.5454591,12/05/2017 11:37,model=SM-G950F_device=dreamlte,32.10495024,35.21016336,687.9399019,3
12/05/2017 11:37,model=SM-G950F_device=dreamlte,32.10380926,35.21014902,700.531831,4,0,0,0,12/05/2017 11:37,model=SM-G950F_device=dreamlte,32.10380926,35.21014902,700.531831,4
12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10432485,35.20990812,697.1117517,8,0,0,0,12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10432485,35.20990812,697.1117517,8
12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10381201,35.21016285,706.0284556,10,0,0,0,12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10381201,35.21016285,706.0284556,10
12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.1043507,35.20912932,697.1835118,2,0,0,0,12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.1043507,35.20912932,697.1835118,2
12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10441531,35.20970248,693.2730148,3,0,0,0,12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10441531,35.20970248,693.2730148,3
12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10422974,35.20924973,705.2020181,1,0,0,0,12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10422974,35.20924973,705.2020181,1
12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10386903,35.20975358,697.2851723,3,0,0,0,12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10386903,35.20975358,697.2851723,3
12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10252386,35.20732447,699.0872236,1,#VALUE!,#VALUE!,#VALUE!,12/05/2017 11:41,model=SM-G950F_device=dreamlte,NaN,NaN,NaN,1
12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.1042139,35.20942382,691.5251802,3,0,0,0,12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.1042139,35.20942382,691.5251802,3
12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10426077,35.20926998,703.8995996,1,0,0,0,12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10426077,35.20926998,703.8995996,1
12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10369856,35.20917944,699.5022971,1,0,0,0,12/05/2017 11:41,model=SM-G950F_device=dreamlte,32.10369856,35.20917944,699.5022971,1
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10482057,35.21021208,699.9240231,2,0,0,0,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10482057,35.21021208,699.9240231,2
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10331331,35.20814312,696.2895142,1,-0.00076599,-0.00080182,3.0789139,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.1040793,35.20894494,693.2106003,1
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10411011,35.20902819,699.3313756,3,0,0,0,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10411011,35.20902819,699.3313756,3
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10364311,35.20853388,695.6835451,1,-0.00082386,-0.00089598,2.7804965,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10446697,35.20942986,692.9030486,1
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10446889,35.20960459,706.7108663,4,0,0,0,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10446889,35.20960459,706.7108663,4
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10382774,35.2101929,703.9903086,10,0,0,0,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10382774,35.2101929,703.9903086,10
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10380272,35.21015526,701.9358724,1,0,0,0,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10380272,35.21015526,701.9358724,1
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10404738,35.20916255,691.4554829,1,1.556E-05,-5.1E-06,1.1547202,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10403182,35.20916765,690.3007627,1
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10395417,35.20939855,695.1171009,2,0,0,0,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10395417,35.20939855,695.1171009,2
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10492098,35.21010092,689.3647698,5,0,0,0,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10492098,35.21010092,689.3647698,5
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10427576,35.20940737,703.0402429,2,0,0,0,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10427576,35.20940737,703.0402429,2
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10252386,35.20732447,699.0872236,1,#VALUE!,#VALUE!,#VALUE!,12/05/2017 11:43,model=SM-G950F_device=dreamlte,NaN,NaN,NaN,1
12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10440209,35.20960375,690.3590827,1,0,0,0,12/05/2017 11:43,model=SM-G950F_device=dreamlte,32.10440209,35.20960375,690.3590827,1
12/05/2017 11:44,model=SM-G950F_device=dreamlte,32.1052113,35.20996018,689.0628514,1,0,0,0,12/05/2017 11:44,model=SM-G950F_device=dreamlte,32.1052113,35.20996018,689.0628514,1
12/05/2017 11:44,model=SM-G950F_device=dreamlte,32.10381479,35.21015013,704.1995384,2,0,0,0,12/05/2017 11:44,model=SM-G950F_device=dreamlte,32.10381479,35.21015013,704.1995384,2
12/05/2017 11:44,model=SM-G950F_device=dreamlte,32.10305231,35.20844472,701.4876113,1,-0.00093423,-0.0019993,-3.6172747,12/05/2017 11:44,model=SM-G950F_device=dreamlte,32.10398654,35.21044402,705.104886,1
12/05/2017 11:45,model=SM-G950F_device=dreamlte,32.10382335,35.21017983,706.2313135,10,0,0,0,12/05/2017 11:45,model=SM-G950F_device=dreamlte,32.10382335,35.21017983,706.2313135,10
